height,siblings,exercise_hrs,online_hrs,sleep_hrs,haircut_spend,type_of_person,homeopathy_works,lied_about_age,marijuana,handedness,success_forces_outside_control,work_hard_to_succeed,children_vs_parents,woman_top_position,relaxed_stressful,anxiety_about_analytics,motivated_course_grade,facebook_friends,gender
185,3,3,12,7,40,4,1,1,1,1,Disagree,10,Worse off,Not having children at all,4,3,5,700,Male
168,3,1,5,7,40,2,1,1,1,-0.8,Disagree,8,Better off,Not having children at all,2,2,4,300,Female
185,2,4,56,9,30,3,1,1,1,-1,Disagree,8,Worse off,Having children later in her career,3,1,3,1000,Male
175,2,5,25,8,80,2,1,1,1,1,Disagree,8,Worse off,Having children later in her career,3,3,3,1300,Male
173,2,3,20,6,20,1,1,1,1,0.9,Disagree,8,Better off,Having children later in her career,4,4,3,300,Female
162,2,5,70,7,10,2,1,1,1,1,Agree,8,Worse off,Having children later in her career,5,4,5,1300,Female
170,1,3,21,7,30,2,1,1,1,1,Disagree,10,Better off,Not having children at all,4,4,3,200,Male
190,3,8,50,6,25,2,1,1,1,1,Disagree,8,Worse off,Having children later in her career,3,4,3,599,Male
193,3,4,10,6.5,20,2,1,1,1,-0.625,Disagree,8,Better off,Not having children at all,4,3,4,997,Male
190,0,3,70,6,60,2,1,1,1,0.31,Disagree,10,Worse off,Having children later in her career,4,1,4,0,Male
190,2,4,14,7,22,4,1,1,1,0.9,Agree,8,Better off,Not having children at all,3,2,1,786,Male
172,2,2,24,6,70,3,1,1,1,1,Disagree,9,Better off,Having children later in her career,3,1,2,1500,Female
165,2,0,8,7,25,2,1,1,1,-0.2,Disagree,10,Better off,Not having children at all,5,4,5,1894,Female
165,1,0,70,6,65,3,1,1,1,1,Disagree,8,Better off,Having children later in her career,5,3,3,600,Female
165,3,2,10,8,50,1,1,1,1,1,Disagree,9,Better off,Not having children at all,4,5,4,1000,Female
167,2,8,14,7,100,2,1,1,1,0.9,Disagree,8,Better off,Having children later in her career,4,2,4,160,Female
165,2,1,40,7,3,2,1,1,1,0.23,Disagree,6,Better off,Having children later in her career,3,2,5,560,Female
163,2,0,15,8,30,2,1,1,1,0.5,Agree,8,Better off,Having children later in her career,3,4,4,800,Female
163,2,9,39,7,46,1,1,1,1,0,Disagree,10,Better off,Having children later in her career,4,5,4,961,Female
181,3,2,25,20,15,3,1,1,1,1,Disagree,10,Better off,Having children later in her career,5,2,4,500,Male
158,3,0,20,7,41.7,2,1,1,1,0.9,Agree,8,Better off,Having children later in her career,4,5,3,1408,Female
168,1,4,6,8,40,1,1,1,1,-1,Agree,4,Worse off,Not having children at all,3,4,4,400,Female
179,2,5,50,7,27,2,1,1,1,-1,Disagree,10,Worse off,Having children later in her career,4,1,4,857,Male
169,2,5,50,7,6,2,1,1,1,1,Disagree,10,Better off,NA,2,3,5,1385,Female
153,2,7,40,6,15,3,1,1,1,1,Disagree,NA,Better off,Having children later in her career,4,2,5,526,Female
165,3,6,15,8,60,2,1,1,1,0.9,Disagree,9,Better off,Not having children at all,3,4,5,1040,Female
163,3,2,21,7,61,3,1,1,1,1,Disagree,8,Better off,Having children later in her career,3,1,5,0,Female
181,4,10,30,7,22,1,1,1,1,0.81,Disagree,8,Better off,Not having children at all,3,2,4,735,Male
172,3,3,16,8,40,3,1,1,1,1,Disagree,8,Better off,Not having children at all,3,4,5,149,Female
183,2,30,15,7,18.6,2,1,1,1,0,Disagree,8,Worse off,Having children early on in her career,3,1,5,867,Male
165,3,7,26,8,50,2,1,1,1,1,Agree,10,Worse off,Not having children at all,2,1,5,0,Female
183,3,3,28,8,20,1,1,1,1,1,Disagree,10,Worse off,Having children later in her career,4,1,5,1327,Male
183,4,5,30,8,20,4,1,1,1,1,Disagree,8,Worse off,Having children later in her career,3,2,4,770,Male
166,2,5,35,8,55,2,1,1,1,0.76,Disagree,7,Better off,Not having children at all,3,3,5,1200,Female
175,4,4,15,9,60,2,1,1,1,0.76,Agree,10,Better off,Not having children at all,4,3,5,1373,Female
167,2,0,21,8,60,2,1,1,1,1,Disagree,7,Worse off,Not having children at all,1,5,5,200,Female
163,2,6,48,6,20,2,1,1,1,0.5,Disagree,8,Better off,Not having children at all,3,2,5,617,Female
